Nome;Morada;ID;Data;Hora (Lisboa);Temperatura(C);Pressao(bar);Bateria(%)
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;00:00;5,5;2,24081;77
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;00:05;5,5;2,24081;77
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;00:08;5,5;2,19323588;75
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;00:15;5,5;2,137388;76
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;00:20;5,5;2,2787314;77
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;00:23;5,5;2,24494688;75
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;00:30;5,5;2,17668836;78
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;00:35;5,4;2,38835872;76
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;00:38;5,4;2,3924956;76
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;00:45;5,4;2,44006972;77
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;00:50;5,4;2,17668836;78
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;00:53;5,4;2,18082524;75
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;01:00;5,3;2,41111156;76
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;01:05;5,3;2,14979864;77
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;01:08;5,3;2,34698992;76
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;01:15;5,3;2,30355268;77
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;01:20;5,2;2,24494688;76
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;01:23;5,2;2,4442066;73
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;01:30;5,2;2,43593284;78
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;01:35;5,2;2,45661724;77
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;01:38;5,2;2,23667312;76
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;01:45;5,2;2,3304424;78
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;01:50;5,2;2,28700516;78
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;01:53;5,11;2,32630552;70
Sensor 8;Rua de Mocambique c/ Rua de Cabo Verde;00:13:A2:00:41:EF:C6:DA;04/02/2023;02:00;5,11;2,40697468;77
