Nome;Morada;ID;Data;Hora (Lisboa);Temperatura(C);Pressao(bar);Bateria(%)
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;00:04;7,84;2,74550936;80
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;00:08;7,94;2,70000368;79
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;00:14;7,94;2,70827744;81
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;00:19;7,94;2,8682368;82
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;00:23;8,04;2,76205688;79
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;00:29;8,04;2,70414056;80
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;00:34;8,04;2,89305808;80
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;00:38;8,04;2,90133184;76
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;00:44;8,04;2,93235844;80
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;00:49;8,04;2,70414056;81
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;00:53;8,04;2,6958668;73
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;00:59;8,04;2,90133184;81
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;01:04;8,04;2,78480972;80
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;01:08;8,04;2,86409992;79
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;01:14;7,94;2,81445736;79
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;01:19;7,94;2,75378312;81
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;01:23;7,94;2,95511128;77
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;01:29;7,94;2,96338504;80
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;01:35;7,94;2,94890596;79
Sensor 6;Rua das Galinheiras n5;00:13:A2:00:41:EF:C6:EC;04/02/2023;01:39;7,94;2,74550936;79
