Nome;Morada;ID;Data;Hora (Lisboa);Temperatura(C);Pressao(bar);Bateria(%)
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;00:04;14,09;-0,05446892;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;00:08;14,09;-0,05446892;77
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;00:19;14,09;-0,06274268;80
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;00:23;14,09;-0,0586058;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;00:29;14,09;-0,06274268;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;00:34;14,09;-0,06274268;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;00:38;14,09;-0,06274268;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;00:44;14,09;-0,06274268;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;00:49;14,09;-0,06274268;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;00:53;14,09;-0,05446892;77
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;00:59;14,09;-0,0586058;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;01:04;14,09;-0,06274268;77
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;01:08;14,09;-0,05446892;74
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;01:14;14,09;-0,0586058;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;01:19;14,09;-0,0586058;80
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;01:23;14,09;-0,0586058;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;01:29;14,09;-0,0586058;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;01:34;14,09;-0,0586058;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;01:38;14,09;-0,0586058;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;01:49;14,09;-0,05446892;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;01:53;14,09;-0,05446892;77
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;02:04;14,09;-0,0586058;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;02:08;14,09;-0,0586058;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;02:14;14,09;-0,0586058;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;02:19;14,09;-0,0586058;80
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;02:23;14,09;-0,0586058;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;02:29;14,09;-0,0586058;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;02:34;14,09;-0,0586058;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;02:38;14,09;-0,05446892;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;02:49;14,09;-0,06274268;75
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;02:53;14,09;-0,06274268;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;03:04;14,09;-0,0586058;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;03:08;14,09;-0,06274268;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;03:14;14,09;-0,05446892;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;03:19;14,09;-0,0586058;77
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;03:23;14,09;-0,0586058;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;03:34;14,09;-0,0586058;81
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;03:38;14,09;-0,05446892;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;03:49;14;-0,0586058;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;03:53;14;-0,0586058;72
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;04:04;14;-0,0586058;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;04:08;14;-0,0586058;76
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;04:19;14;-0,0586058;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;04:23;14;-0,05446892;77
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;04:34;14;-0,0586058;77
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;04:38;14;-0,05446892;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;04:49;14;-0,0586058;77
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;04:53;14;-0,0586058;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;05:04;14;-0,0586058;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;05:08;14;-0,0586058;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;05:19;13,9;-0,0586058;80
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;05:23;14;-0,05446892;77
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;05:34;13,9;-0,05446892;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;05:38;13,9;-0,0586058;76
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;05:49;13,9;-0,0586058;80
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;05:53;13,9;-0,05446892;74
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;06:04;13,9;-0,0586058;79
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;06:08;13,9;-0,05446892;73
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;06:19;13,9;-0,05446892;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;06:23;13,9;-0,05446892;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;06:34;13,9;-0,0586058;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;06:38;13,9;-0,06274268;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;06:49;13,9;-0,0586058;77
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;06:53;13,9;-0,0586058;74
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;07:04;13,8;-0,0586058;78
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;07:08;13,8;-0,0586058;72
Sensor 3;Rua Celulose Billerud;00:13:A2:00:41:E2:34:F6;04/02/2023;07:19;13,8;-0,0586058;80
