Nome;Morada;ID;Data;Hora (Lisboa);Temperatura(C);Pressao(bar);Bateria(%)
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;00:04;9,4;2,23322572;52
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;00:08;9,4;2,206336;48
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;00:14;9,4;2,19392536;52
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;00:19;9,4;2,36767432;51
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;00:23;9,4;2,24977324;48
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;00:29;9,4;2,206336;50
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;00:34;9,31;2,3890482;50
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;00:38;9,31;2,3890482;46
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;00:44;9,31;2,43869076;51
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;00:49;9,31;2,21460976;51
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;00:53;9,21;2,19806224;48
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;00:59;9,21;2,3890482;50
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;01:04;9,21;2,30768956;51
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;01:08;9,11;2,35526368;39
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;01:14;9,11;2,30768956;51
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;01:19;9,11;2,258047;49
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;01:23;9,11;2,45523828;39
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;01:29;9,11;2,45937516;50
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;01:34;9,01;2,44282764;51
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;01:38;9,01;2,24149948;48
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;01:44;9,01;2,31182644;51
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;01:49;9,01;2,35526368;51
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;01:53;9,01;2,33457928;44
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;01:59;8,92;2,41386948;50
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;02:04;8,92;2,31182644;51
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;02:08;8,92;2,33871616;47
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;02:14;8,92;2,39732196;50
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;02:19;8,82;2,206336;50
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;02:23;8,82;2,29114204;48
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;02:29;8,82;2,45523828;49
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;02:34;8,82;2,41386948;51
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;02:38;8,72;2,24149948;47
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;02:44;8,72;2,31596332;49
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;02:49;8,72;2,36353744;51
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;02:53;8,72;2,45523828;48
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;02:59;8,62;2,2373626;51
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;03:04;8,62;2,28700516;50
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;03:08;8,62;2,27045764;47
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;03:14;8,62;2,30768956;50
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;03:19;8,52;2,24563636;48
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;03:23;8,52;2,38422184;47
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;03:29;8,52;2,34698992;50
Sensor 1;VRP Rua de Mocambique;00:13:A2:00:41:E3:2D:3A;04/02/2023;03:35;8,52;2,18978848;48
